WOOD 4.4,<:T4_WOOD_LEVEL4:1300118301938290708>
WOOD 5.4,<:T5_WOOD_LEVEL4:1300118300679995533>
WOOD 6.4,<:T6_WOOD_LEVEL4:1300118298976981164>
WOOD 7.4,<:T7_WOOD_LEVEL4:1299204466310123551>
WOOD 8.4,<:T8_WOOD_LEVEL4:1300118297878069308>
HIDE 4.4,<:T4_HIDE_LEVEL4:1300118532457238548>
HIDE 5.4,<:T5_HIDE_LEVEL4:1300118315901128745>
HIDE 6.4,<:T6_HIDE_LEVEL4:1300118531467120671>
HIDE 7.4,<:T7_HIDE_LEVEL4:1300118312381841449>
HIDE 8.4,<:T8_HIDE_LEVEL4:1300118530041184339>
FIBER 4.4,<:T4_FIBER_LEVEL4:1300118534784942132>
FIBER 5.4,<:T5_FIBER_LEVEL4:1300118326558855219>
FIBER 6.4,<:T6_FIBER_LEVEL4:1300118533815930971>
FIBER 7.4,<:T7_FIBER_LEVEL4:1300118322628788266>
FIBER 8.4,<:T8_FIBER_LEVEL4:1300118320292429844>
ORE 4.4,<:T4_ORE_LEVEL4:1300118308900831303>
ORE 5.4,<:T5_ORE_LEVEL4:1300118307529293875>
ORE 6.4,<:T6_ORE_LEVEL4:1300118305838731376>
ORE 7.4,<:T7_ORE_LEVEL4:1300118304605601792>
ORE 8.4,<:T8_ORE_LEVEL4:1300118303448236123>
